No.,Market,Current Segment,Segment on First Quotation,Company,ISIN,Symbol,Country,Type,Supersector,Sector,Subsector,Prospectus,First Trading Day,Underwriter,Issuing Method,Bookbuilding Range,Subscription Price,First Price,Placement Volume incl. GS in euro,Placement Volume of executed GS in euro,Placement Volume (Shares),Placement Volume (Shares) of New Shares,Placement Volume (Shares) of Existing Shares,Greenshoe in Shares,Greenshoe in Executed Shares,Capital Stock / Shares on 1st Quotation,Total Market Cap on 1st Quotation in euro,Market Cap (Free Float) on 1st Quotation in euro
1173,Open Market,Delisted,First Quotation Board,INNOVATIV CAPITAL AG,DE000A0H5057,I3C,Germany,LI,,,,no,16/05/2006,,,,,1.46,,,,,,,,"682,000","995,720.00",
1174,Open Market,Delisted,Entry Standard,Elite World S.A.,LU0252519037,E1M,Grand Duchy of Luxembourg,LI,,Industrial,Industrial Products & Services,no,15/05/2006,,,,,3,,,,,,,,"19,881,000","59,643,000.00",
1175,Open Market,Delisted,Entry Standard,Matica Technologies AG,DE000A0JELZ5,D7S,Germany,NI,,Industrial,Industrial Products & Services,yes,12/5/2006,DZ Bank AG,Bookbuilding Procedure,16.80 - 19.80,19,18.99,"16,383,700.00",,"862,300","612,300","250,000","129,345",,"2,143,050","40,696,519.50",
1176,Regulated Market,General Standard,Prime Standard (Amtlicher Markt),Air Berlin PLC,GB00B128C026,AB1,United Kingdom,NI,Industrials,Transportation & Logistics,Airlines,yes,11/5/2006,Joint Global Coordinators & Joint Bookrunners:<br>  Commerzbank Corporates & Markets; Morgan Stanley  <br><br>  Co-Lead Managers:<br>  NordLB; Société Générale (Lead Manager: Commerzbank Corporates & Markets; Morgan Stanley),Bookbuilding Procedure,11.50 - 14.50,12,12.65,"443,478,252.00",,"36,956,521","19,565,217","17,391,304","5,543,479",,"59,742,821","755,746,685.65","467,504,899.74"
1177,Open Market,Delisted,Entry Standard,Roth & Rau AG,DE000A0JCZ51,R8R,Germany,NI,,Industrial,,yes,11/5/2006,Landesbank Baden Württemberg,Bookbuilding Procedure,32.00 - 36.00,36,43.5,"47,700,000.00","5,400,000.00","1,325,000","800,000","525,000","150,000","150,000","2,300,000","100,050,000.00",
1178,Regulated Market,Prime Standard,Prime Standard (Amtlicher Markt),Viscom AG,DE0007846867,V6C,Germany,NI,,Industrial,Advanced Industrial Equipment,yes,10/5/2006,Sole Lead Manager & Sole Bookrunner:<br> equinet Securities AG  <br><br>  Co-Lead Manager:<br>  NORD/LB (Lead Manager: equinet Securities AG),Bookbuilding Procedure,17.20 - 18.50,18.5,20.4,"49,500,450.00","2,325,450.00","2,675,700","2,300,000","375,700","350,000","125,700","9,020,000","184,008,000.00","52,019,061.60"
1179,Regulated Market,Prime Standard,Entry Standard,MBB Industries AG,DE000A0ETBQ4,MBB,Germany,NI,,Industrial,,yes,9/5/2006,West LB AG,Bookbuilding Procedure,8.50 - 9.80,9.5,9.9,"17,480,000.00","2,280,000.00","1,840,000","1,600,000","240,000","240,000","240,000","6,600,000","65,340,000.00",
1180,Regulated Market,Prime Standard,Kein / None (Transfer Amtlicher Markt),DIC Asset AG,DE0005098404,DAZ,Germany,TR,,Financial Services,Real Estate,yes,8/5/2006,Globale Koordinatoren & Joint Bookrunner:<br>  Deutsche Bank AG; Morgan Stanley Bank AG  <br><br>  Co-Managers:<br>  WestLB AG; Kempen & Co N.V. (Lead Manager: Deutsche Bank; Morgan Stanley),Bookbuilding Procedure,20.00 - 22.00,22,28,"210,320,484.00",,"9,560,022",,,"925,000","925,000","20,340,000","569,520,000.00","197,395,632.00"
1181,Open Market,Delisted,First Quotation Board,Geld Art AG,DE000A0JJTH5,G3A,Germany,LI,,,,no,8/5/2006,,,,,24.5,,,,,,,,"1,100,000","26,950,000.00",
1182,Regulated Market,Prime Standard,Prime Standard (Amtlicher Markt),Petro Welt Technologies AG,AT0000A00Y78,O2C,Austria,NI,,Basic Resources,Oil & Gas,yes,4/5/2006,Sole Global Coordinator & Sole Bookrunner:<br>  Dresdner Kleinwort Wasserstein  <br><br>  Co-Lead Manager:<br>  Erste Bank der österreichischen Sparkassen AG (Lead Manager: Dresdner Kleinwort Wasserstein),Bookbuilding Procedure,12.50 - 15.00,15,17.2,"293,250,000.00","38,250,000.00","19,550,000","8,850,000","10,700,000","2,550,000","2,550,000","48,850,000","840,220,000.00","336,088,000.00"
1183,Regulated Market,Delisted,General Standard,Dresdner Factoring AG,DE000DFAG997,D2F,Germany,NI,,Financial Services,Diversified Financial,yes,26/04/2006,Global Coordinator & Sole Bookrunner: <br>  HVB Corporates & Markets (Lead Manager: HVB Corporates & Markets),Bookbuilding Procedure,11.50 - 13.00,11.5,11.61,"16,457,109.50",,"1,431,053","1,100,000","331,053","155,000",,"2,800,000","32,508,000.00","17,570,574.00"
1184,Open Market,Prime Standard,First Quotation Board,SFC Smart Fuel Cell AG,DE0007568578,F3C,Germany,LI,,,,no,21/04/2006,,,,,150,,,,,,,,"1,413,936","212,090,400.00",
1185,Open Market,Delisted,Entry Standard,telegate Media AG,DE000A0JJ3E1,KT8,Germany,NI,,Software,,yes,18/04/2006,CCB Bank AG,Bookbuilding Procedure,13.00 - 15.50,15,15.5,"13,500,000.00","900,000.00","900,000","700,000","200,000","120,000","60,000","3,400,000","52,700,000.00",
1186,Regulated Market,Prime Standard,Prime Standard (Amtlicher Markt),Wacker Chemie AG,DE000WCH8881,WCH,Germany,NI,Basic Materials,Chemicals,"Chemicals, Speciality",yes,10/4/2006,"Joint Global Coordinators & Joint Bookrunners: <br>  Morgan Stanley; UBS Investment Bank<br><br>    Retail Coordinator & Joint Lead Manager: <br>  Dresdner Kleinwort Wasserstein<br><br>    Co-Lead Managers: <br>  BNP PARIBAS, HSBC Trinkaus & Burkhardt; HVB Corporates & Markets<br><br>    Co-Managers: <br>  ABN AMRO Rothschild; Bayerische Landesbank (Lead Manager: Morgan Stanley; UBS Investment Bank)",Bookbuilding Procedure,70.00 - 80.00,80,90,"1,199,509,840.00","156,457,840.00","14,993,873",,"14,993,873","1,955,723","1,955,723","52,152,600","4,693,734,000.00","1,349,448,525.00"
1187,Official Market,Delisted,Prime Standard,SAF AG,CH0024848738,S4X,Switzerland,NI,,Software,Software,yes,6/4/2006,Lead Manager & Global Coordinator & Sole Bookrunner: <br>  BNP PARIBAS<br><br>  Co-Lead Managers: <br>  Commerzbank Corporates & Markets;  Sal. Oppenheim jr. & Cie.  Kommanditgesellschaft auf Aktien   (Lead Manager: BNP PARIBAS),Bookbuilding Procedure,13.40 - 17.60,17.6,17.2,"45,327,356.80","2,789,723.00","2,575,418","1,278,150","1,297,268","302,114","158,507","5,538,650","95,264,780.00","40,963,855.40"
1188,Open Market,Delisted,Prime Standard,MAGIX AG ,DE0007220782,MGX,Germany,NI,,Software,Software,yes,6/4/2006,Sole Global Coordinator & Sole Bookrunner: <br> Dresdner Kleinwort Wasserstein <br><br>    Co-Lead Manager: <br>   Cazenove (Lead Manager: Dresdner Kleinwort Wasserstein),Bookbuilding Procedure,13.40 - 16.40,16.4,16.4,"75,333,154.00",,"4,593,485","1,350,000","3,243,485","689,022",,"12,662,038","207,657,423.20","75,338,113.14"
1189,Open Market,Delisted,First Quotation Board,Dolphin Capital AG,DE000A0B58R0,R3U,Germany,LI,,,,no,5/4/2006,,,,,6.05,,,,,,,,"380,000","2,299,000.00",
1190,Open Market,Delisted,Entry Standard,Bio-Gate AG,DE000BGAG981,BIG1,Germany,NI,,Industrial,Advanced Industrial Equipment,yes,5/4/2006,equinet Securities AG,Bookbuilding Procedure,19.00 - 21.00,21,33.5,"16,552,200.00","2,100,000.00","788,200","567,000","221,200","100,000","100,000","2,940,000","98,490,000.00",
1191,Open Market,Delisted,First Quotation Board,Mox Deals AG,DE0005391908,MZS,Germany,LI,,Financial Services,Private Equity & Venture Capital,no,3/4/2006,,,,,0.48,,,,,,,,"600,000","288,000.00",
1192,Open Market,Delisted,Entry Standard,Solar² AG,DE000A0LYDD3,S2RK,Germany,LI,,Industrial,,no,3/4/2006,,,,,3.9,,,,,,,,"7,300,000","28,470,000.00",
1193,Regulated Market,Prime Standard,Prime Standard (Amtlicher Markt),PATRIZIA AG,DE000PAT1AG3,P1Z,Germany,NI,FIRE,Financial Services,Real Estate,yes,31/03/2006,Joint Bookrunners:<br>  Deutsche Bank Aktiengesellschaft; J.P. Morgan Securities Ltd.; Sal. Oppenheim jr. & Cie. Kommanditgesellschaft auf Aktien (Lead Manager: Deutsche Bank Aktiengesellschaft; J.P. Morgan Securities Ltd.; Sal. Oppenheim jr. & Cie. Kommanditgesellschaft auf Aktien),Bookbuilding Procedure,15.80 - 18.50,18.5,21.5,"402,745,000.00","49,025,000.00","21,770,000","7,000,000","14,770,000","2,650,000","2,650,000","47,400,000","1,019,100,000.00","468,072,630.00"
1194,Open Market,Delisted,Entry Standard,SWL Sustainable Wealth Lab AG,DE0005459556,JZ1,Germany,LI,,Financial Services,,yes,31/03/2006,,,,,16,,,,,,,,"2,090,000","33,440,000.00",
1195,Open Market,Delisted,Entry Standard,nextevolution AG,DE000A0JC0A2,N5E,Germany,LI,,Software,Software,no,31/03/2006,,,,,15.1,,,,,,,,"750,000","11,325,000.00",
1196,Regulated Market,Prime Standard,Quotation Board,C-QUADRAT Investment AG,AT0000613005,C8I,Austria,LI,,Financial Services,Diversified Financial,no,29/03/2006,,,,,48.05,,,,,,,,"3,636,000","174,709,800.00",
1197,Regulated Market,Prime Standard,Entry Standard,ecotel communication ag,DE0005854343,E4C,Germany,NI,,Telecommunication,Fixed-Line Telecommunication,yes,29/03/2006,Baader Wertpapierhandelsbank AG,Bookbuilding Procedure,14.00 - 17.00,17,17.08,"16,614,100.00","719,100.00","977,300","935,000","42,300","120,000","42,300","3,500,000","59,780,000.00",
1198,Open Market,Delisted,First Quotation Board,Oil & Gas Capital AG,DE0001644391,C7B,Germany,LI,,,,no,28/03/2006,,,,,3,,,,,,,,"2,200,000","6,600,000.00",
1199,Open Market,Delisted,Quotation Board,Feedback AG,DE000A0DRW95,FEE1,Germany,LI,,Financial Services,Diversified Financial,no,2/3/2006,,,,,6,,,,,,,,"300,000","1,800,000.00",
1200,Open Market,Delisted,First Quotation Board,Autoworks International Ltd.,CA05334R1064,A6Q,Canada,LI,,,,no,1/3/2006,,,,,1.1,,,,,,,,"19,655,200","21,620,720.00",
1201,Open Market,Delisted,First Quotation Board,Lead Invest Inc.,USU514141071,L4I,United States,LI,,,,no,24/02/2006,,,,,8.4,,,,,,,,"500,000","4,200,000.00",
1202,Open Market,Delisted,First Quotation Board,Protektus AG,DE000A0JCXG4,P8T,Germany,LI,,,,no,23/02/2006,,,,,1.36,,,,,,,,"662,332","900,771.52",
1203,Open Market,Basic Board,Quotation Board,wallstreet:online AG,DE000A2GS609,WSO2,Germany,LI,,Financial Services,Diversified Financial,yes,22/02/2006,,,,,3.1,,,,,,,,"8,860,990","27,469,069.00",
1204,Regulated Market,General Standard,Geregelter Markt,7C Solarparken AG,DE0005250708,HRP,Germany,DL,Industrials,Industrial,Renewable Energies,yes,14/02/2006,,,,,,,,,,,,,,,
1205,Regulated Market,Delisted,Prime Standard (Amtlicher Markt),primion Technology AG,DE0005117006,P4T,Germany,NI,,Industrial,Industrial Products & Services,yes,13/02/2006,Sole Lead Manager & Sole Bookrunner:<br>  equinet Securities AG  <br><br>  Co-Manager:<br>  Bankhaus Reuschel & Co. Kommanditgesellschaft (Lead Manager: equinet Securities AG),Bookbuilding Procedure,13.50 - 14.50,14.5,14.75,"40,600,000.00","5,220,000.00","2,800,000","1,400,000","1,400,000","360,000","360,000","5,550,000","81,862,500.00","35,986,755.00"
1206,Open Market,Delisted,Entry Standard,Frogster Interactive Pictures AG ,DE000A0F47J1,FRG,Germany,NI,,,,yes,10/2/2006,Axxon Wertpapierhandelsbank AG & Concord Effekten,Bookbuilding Procedure,12.00 - 13.50,13.5,14.4,"4,833,000.00","438,750.00","358,000","325,500","32,500","32,500","32,500","975,000","14,040,000.00",
1207,Open Market,Delisted,First Quotation Board,Solen AG,DE000A1RFNB0,P1YK,Germany,LI,,Industrial,Renewable Energies,no,31/01/2006,,,,,5.25,,,,,,,,"400,000","2,100,000.00",
1208,Open Market,Basic Board,Entry Standard,BAVARIA Industries Group AG,DE0002605557,B8A,Germany,NI,,Industrial,"Industrial, Diversified",yes,26/01/2006,Concord Effekten AG,Bookbuilding Procedure,22.00 - 26.00,26,28.75,"14,950,000.00","1,950,000.00","575,000","500,000","75,000","75,000","75,000","2,205,000","63,393,750.00",
